user_id,status,methods,activation_date,last_verification,failed_attempts
user_047,activé,email,2023-07-17,2024-03-19,0
user_048,désactivé,,,,0
user_049,activé,hardware_token,2023-09-05,2024-02-27,0
user_050,activé,hardware_token,2023-09-21,2024-03-08,0
user_051,désactivé,,,,0
user_052,activé,sms,2023-04-08,2023-04-29,0
user_053,désactivé,,,,3
user_054,désactivé,,,,0
user_055,activé,email,2023-07-29,2024-01-04,0
user_056,activé,hardware_token|email,2023-09-07,2024-03-20,3
user_057,activé,email,2023-04-11,2023-10-05,0
user_058,activé,hardware_token,2023-09-09,2023-12-31,0
user_059,activé,email|sms,2023-10-18,2023-11-08,5
user_060,activé,app,2023-02-03,2024-03-14,0
user_061,activé,email,2023-05-04,2024-03-29,0
user_062,désactivé,,,,0
user_063,activé,app|hardware_token,2023-08-06,2023-12-19,0
user_064,activé,sms,2023-09-27,2023-10-20,0
user_065,activé,email,2023-05-14,2024-01-17,0
user_066,activé,sms|email,2023-03-15,2024-01-15,0
user_067,activé,sms,2023-01-07,2023-09-02,0
user_068,activé,email,2023-02-08,2023-10-28,0
user_069,activé,email|hardware_token,2023-12-28,2024-02-01,0
user_070,désactivé,,,,0
user_071,activé,sms,2023-03-19,2023-12-31,1
user_072,activé,sms,2023-06-14,2023-11-10,0
user_073,activé,sms,2023-02-26,2023-09-17,2
user_074,désactivé,,,,0
user_075,activé,hardware_token,2024-02-17,2024-02-24,0
user_076,activé,app,2023-04-12,2023-05-12,2
user_077,activé,app|email,2023-09-05,2023-11-22,3
user_078,désactivé,,,,0
user_079,activé,sms,2023-04-18,2023-10-30,2
user_080,activé,email,2023-09-15,2023-10-05,0
user_081,activé,email,2023-12-31,2024-01-20,0
user_082,activé,hardware_token,2023-04-08,2023-12-14,0
user_083,activé,hardware_token,2023-06-22,2023-08-10,0
user_084,activé,app,2023-04-25,2023-09-02,0
user_085,activé,email,2024-02-02,2024-03-20,0
user_086,activé,email,2023-12-17,2024-02-26,0
user_087,activé,hardware_token,2023-11-10,2023-11-24,0
user_088,désactivé,,,,5
user_089,désactivé,,,,0
user_090,activé,email,2023-11-24,2023-12-18,0
user_091,activé,app,2023-03-26,2023-09-21,3
user_092,activé,hardware_token,2024-01-13,2024-01-27,0
user_093,activé,app,2023-09-07,2023-09-07,2
user_094,activé,hardware_token,2023-10-06,2023-11-21,0
user_095,activé,hardware_token,2023-11-18,2024-03-17,0
user_096,activé,email,2024-01-29,2024-03-05,0
user_097,activé,app,2023-07-14,2023-09-08,0
user_098,activé,hardware_token|sms,2023-11-27,2023-12-19,1
user_099,activé,app,2023-01-09,2023-03-16,3
user_100,désactivé,,,,0
user_101,activé,sms,2024-01-07,2024-03-13,0
user_102,activé,sms,2024-02-06,2024-03-26,0
user_103,désactivé,,,,4
user_104,activé,app,2023-01-03,2023-05-16,0
user_105,activé,hardware_token|email,2023-05-13,2023-06-25,0
user_106,activé,hardware_token,2023-12-05,2024-02-24,5
user_107,activé,app,2023-08-10,2023-08-10,0
user_108,activé,sms,2023-03-23,2024-01-06,0
user_109,activé,app,2023-03-17,2023-04-28,0
user_110,activé,app|email,2023-06-20,2023-11-14,2
user_111,désactivé,,,,0
user_112,activé,email,2023-11-14,2023-11-20,0
user_113,activé,sms|app,2023-06-09,2023-12-02,1
user_114,désactivé,,,,0
user_115,activé,hardware_token,2023-10-02,2024-03-06,0
user_116,activé,hardware_token,2023-08-10,2024-01-14,2
user_117,activé,sms,2023-06-28,2023-10-04,0
user_118,activé,sms|hardware_token,2023-04-06,2023-05-30,0
user_119,activé,hardware_token,2023-05-30,2023-08-09,2
user_120,activé,app,2023-11-01,2023-11-09,5
user_121,activé,email,2024-01-20,2024-02-27,0
user_122,activé,email,2023-01-22,2023-03-26,0
user_123,activé,hardware_token,2023-05-31,2024-01-01,0
user_124,désactivé,,,,4
user_125,activé,sms,2023-09-29,2024-01-24,0
user_126,activé,app,2024-01-15,2024-03-18,0
user_127,activé,app,2024-02-10,2024-02-27,4
user_128,désactivé,,,,0
user_129,activé,app,2023-10-09,2023-12-06,0
user_130,désactivé,,,,0
user_131,activé,app,2023-06-30,2024-01-24,0
user_132,désactivé,,,,0
user_133,activé,hardware_token,2023-06-14,2023-09-13,0
user_134,désactivé,,,,0
user_135,activé,app,2023-07-14,2023-07-17,0
user_136,activé,app,2023-02-11,2024-02-16,5
user_137,activé,email,2023-12-03,2024-01-11,0
user_138,activé,hardware_token,2023-10-17,2024-01-21,0
user_139,activé,sms,2024-02-12,2024-02-26,4
user_140,activé,app,2024-01-04,2024-02-17,0
user_141,désactivé,,,,3
user_142,activé,sms|email,2023-04-12,2023-07-29,0
user_143,activé,email,2024-01-13,2024-03-16,0
user_144,activé,hardware_token,2023-07-02,2023-08-04,0
user_145,activé,app,2023-11-13,2023-11-16,4
user_146,activé,hardware_token,2023-10-28,2024-03-09,0
user_147,activé,sms,2023-11-18,2024-02-17,0
user_148,désactivé,,,,0
user_149,désactivé,,,,0
user_150,activé,email,2024-01-21,2024-02-02,0
user_151,activé,app,2023-05-26,2023-10-02,0
user_152,activé,app,2023-09-07,2024-02-13,4
user_153,activé,email,2023-01-09,2023-06-18,0
user_154,activé,sms|hardware_token,2023-01-25,2023-04-10,2
user_155,désactivé,,,,0
user_156,activé,email,2023-10-31,2024-03-22,1
user_157,activé,email,2023-02-06,2024-03-23,0
user_158,désactivé,,,,2
user_159,désactivé,,,,0
user_160,activé,app,2023-12-27,2024-03-09,0
user_161,activé,hardware_token,2023-09-11,2023-11-24,0
user_162,activé,sms,2023-11-05,2023-11-16,0
user_163,désactivé,,,,0
user_164,activé,app,2023-03-18,2023-11-25,0
user_165,activé,email|app,2023-06-17,2023-07-15,0
user_166,activé,sms,2023-12-07,2024-01-23,3
user_167,désactivé,,,,5
user_168,désactivé,,,,0
user_169,activé,hardware_token,2023-03-22,2023-07-16,0
user_170,activé,hardware_token,2024-01-11,2024-03-02,0
user_171,activé,sms,2023-06-17,2023-07-30,0
user_172,désactivé,,,,3
user_173,désactivé,,,,2
user_174,activé,hardware_token,2023-12-11,2024-01-01,0
user_175,activé,hardware_token|email,2024-02-07,2024-03-29,0
user_176,activé,email|app,2023-03-19,2023-09-15,0
user_177,désactivé,,,,3
user_178,activé,email,2023-06-10,2023-10-21,2
user_179,désactivé,,,,0
user_180,activé,email,2023-08-16,2023-11-09,0
user_181,activé,hardware_token,2023-11-11,2023-11-16,0
user_182,désactivé,,,,0
user_183,activé,sms,2023-04-19,2024-02-25,0
user_184,activé,sms,2024-01-23,2024-02-06,0
user_185,activé,app,2024-02-25,2024-02-28,0
user_186,activé,email,2023-01-04,2023-01-17,0
user_187,activé,email,2023-12-23,2024-01-24,0
user_188,activé,sms|hardware_token,2023-03-18,2023-11-14,0
user_189,activé,app,2023-02-18,2023-03-11,0
user_190,désactivé,,,,2
user_191,activé,app,2023-06-01,2023-07-22,0
user_192,activé,sms|hardware_token,2023-10-07,2023-10-27,0
user_193,activé,sms,2023-01-27,2023-02-24,4
user_194,activé,app,2023-06-28,2023-08-14,4
user_195,activé,email,2023-07-10,2023-08-25,0
user_196,désactivé,,,,1
user_197,activé,hardware_token,2023-03-24,2024-03-15,0
user_198,activé,hardware_token,2023-08-24,2023-10-23,0
user_199,activé,email|hardware_token,2023-04-20,2024-01-02,0
user_200,activé,email,2023-10-11,2024-02-06,0
